# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: /media/rafael/USB STICK/laboratorio-digital-1/Projeto/Semana_2/Quartus/jogo_desafio_ritmo.csv
# Generated on: Mon Mar 20 18:19:04 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
pontuacao[11],Output,PIN_U17,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[12],Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[13],Output,PIN_V19,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[14],Output,PIN_U20,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[15],Output,PIN_Y20,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[16],Output,PIN_V20,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[17],Output,PIN_U16,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[18],Output,PIN_U15,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[19],Output,PIN_Y15,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[20],Output,PIN_P9,3B,B3B_N0,,,,,,,,,,,,,,
leds[0],Output,PIN_H16,7A,B7A_N0,,,,,,,,,,,,,,
leds[1],Output,PIN_A12,7A,B7A_N0,,,,,,,,,,,,,,
leds[2],Output,PIN_H18,7A,B7A_N0,,,,,,,,,,,,,,
leds[3],Output,PIN_J18,7A,B7A_N0,,,,,,,,,,,,,,
leds[4],Output,PIN_H15,7A,B7A_N0,,,,,,,,,,,,,,
leds[5],Output,PIN_B12,7A,B7A_N0,,,,,,,,,,,,,,
leds[6],Output,PIN_J19,7A,B7A_N0,,,,,,,,,,,,,,
leds[7],Output,PIN_G11,7A,B7A_N0,,,,,,,,,,,,,,
leds[8],Output,PIN_A13,7A,B7A_N0,,,,,,,,,,,,,,
leds[9],Output,PIN_B13,7A,B7A_N0,,,,,,,,,,,,,,
leds[10],Output,PIN_H10,7A,B7A_N0,,,,,,,,,,,,,,
leds[11],Output,PIN_J11,7A,B7A_N0,,,,,,,,,,,,,,
leds[12],Output,PIN_C13,7A,B7A_N0,,,,,,,,,,,,,,
leds[13],Output,PIN_D13,7A,B7A_N0,,,,,,,,,,,,,,
leds[14],Output,PIN_H14,7A,B7A_N0,,,,,,,,,,,,,,
leds[15],Output,PIN_A15,7A,B7A_N0,,,,,,,,,,,,,,
db_tem_jogada,Output,PIN_AA1,2A,B2A_N0,,,,,,,,,,,,,,
db_memoria[0],Output,,,,,,,,,,,,,,,,,
db_memoria[1],Output,,,,,,,,,,,,,,,,,
db_memoria[2],Output,,,,,,,,,,,,,,,,,
db_memoria[3],Output,,,,,,,,,,,,,,,,,
db_memoria[4],Output,,,,,,,,,,,,,,,,,
db_memoria[5],Output,,,,,,,,,,,,,,,,,
db_memoria[6],Output,,,,,,,,,,,,,,,,,
db_jogadafeita[0],Output,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[1],Output,PIN_AB20,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[2],Output,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[3],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[4],Output,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[5],Output,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[6],Output,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
db_jogada_correta,Output,PIN_W2,2A,B2A_N0,,,,,,,,,,,,,,
db_estado[0],Output,PIN_U21,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[1],Output,PIN_V21,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[2],Output,PIN_W22,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[3],Output,PIN_W21,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[4],Output,PIN_Y22,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[5],Output,PIN_Y21,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[6],Output,PIN_AA22,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[0],Output,,,,,,,,,,,,,,,,,
db_contagem[1],Output,,,,,,,,,,,,,,,,,
db_contagem[2],Output,,,,,,,,,,,,,,,,,
db_contagem[3],Output,,,,,,,,,,,,,,,,,
db_contagem[4],Output,,,,,,,,,,,,,,,,,
db_contagem[5],Output,,,,,,,,,,,,,,,,,
db_contagem[6],Output,,,,,,,,,,,,,,,,,
db_contagem[7],Output,,,,,,,,,,,,,,,,,
db_contagem[8],Output,,,,,,,,,,,,,,,,,
db_contagem[9],Output,,,,,,,,,,,,,,,,,
db_contagem[10],Output,,,,,,,,,,,,,,,,,
db_contagem[11],Output,,,,,,,,,,,,,,,,,
db_contagem[12],Output,,,,,,,,,,,,,,,,,
db_contagem[13],Output,,,,,,,,,,,,,,,,,
db_clock,Output,PIN_AA2,2A,B2A_N0,,,,,,,,,,,,,,
