+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                              ;
+--------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:2:conv_j|incrementa_hexa ; 13    ; 11             ; 0            ; 11             ; 10     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:2:conv_j                 ; 5     ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:1:conv_j|subtrai_dez     ; 13    ; 12             ; 0            ; 12             ; 10     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:1:conv_j|incrementa_hexa ; 13    ; 11             ; 0            ; 11             ; 10     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:1:conv_j                 ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:0:conv_j|subtrai_dez     ; 13    ; 12             ; 0            ; 12             ; 10     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:0:conv_j|incrementa_hexa ; 13    ; 11             ; 0            ; 11             ; 10     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|\GEN_CONV:0:conv_j                 ; 5     ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao|soma_inicial                       ; 9     ; 5              ; 0            ; 5              ; 8      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|calcula_pontuacao                                    ; 16    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|incremento_pontuacao                                 ; 8     ; 5              ; 0            ; 5              ; 4      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|registrador_pontuacao                                ; 15    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|contador_endereco                                    ; 12    ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|clock_generator_2                                    ; 4     ; 21             ; 0            ; 21             ; 19     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD|clock_generator_1                                    ; 4     ; 6              ; 0            ; 6              ; 4      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; fluxo_dadosFD                                                      ; 22    ; 0              ; 1            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
